,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Current ratio,1.2011688204790518,1.1621795133086048,
Quick ratio,1.08996625236645,1.0522663351404231,
Operating CF to Current Liabilities Ratio,0.24970162153263642,0.17974768678922268,
Inventory turnover,10.442900805779383,,
Inventory days,34.951974244359306,,
Accounts receivable turnover,2.2057910168109505,,
Receivables days,165.4735182155666,,
Accounts payable turnover,5.259323180259813,,
Payables days,69.40056495671918,,
Required financing for days,131.02492750320675,,
