,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Current ratio,1.0126892754348642,0.883245980802073,
Quick ratio,0.8846076836440996,0.760779694953183,
Operating CF to Current Liabilities Ratio,0.2086096858966337,0.17691537600848006,
Inventory turnover,9.454660010662531,,
Inventory days,38.605301469155926,,
Accounts receivable turnover,16.516316073354908,,
Receivables days,22.099359105196555,,
Accounts payable turnover,4.764274898646998,,
Payables days,76.61186807328352,,
Required financing for days,-15.907207498931037,,
