"Income Statement, MLN USD","Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Automotive leasing,1052.0,869.0,883.0
Total automotive revenues,27236.0,20821.0,18515.0
Services and other,2306.0,2226.0,1391.0
Total revenues,31536.0,24578.0,21461.0
Automotive leasing,563.0,459.0,488.0
Total automotive cost of revenues,20259.0,16398.0,14174.0
Services and other,2671.0,2770.0,1880.0
Total cost of revenues,24906.0,20509.0,17419.0
Gross profit,6630.0,4069.0,4042.0
Research and development,1491.0,1343.0,1460.0
"Selling, general and administrative",3145.0,2646.0,2835.0
Restructuring and other,0.0,149.0,135.0
Total operating expenses,4636.0,4138.0,4430.0
Income (loss) from operations,1994.0,-69.0,-388.0
Interest income,30.0,44.0,24.0
Interest expense,-748.0,-685.0,-663.0
"Other (expense) income, net",-122.0,45.0,22.0
Income (loss) before income taxes,1154.0,-665.0,-1005.0
Provision for income taxes,292.0,110.0,58.0
Net income (loss),862.0,-775.0,-1063.0
Net income (loss) attributable to noncontrolling interests and redeemable noncontrolling interests in subsidiaries,141.0,87.0,-87.0
Net income (loss) attributable to common stockholders,721.0,-862.0,-976.0
Less: Buy-out of noncontrolling interest,31.0,8.0,0.0
Net income (loss) used in computing net income (loss) per share of common stock,690.0,-870.0,-976.0
Basic,0.74,-0.98,-1.14
Diluted,0.64,-0.98,-1.14
Basic,933.0,887.0,853.0
Diluted,1083.0,887.0,853.0
Automotive Sales [Member],0.0,0.0,0.0
Revenues,26184.0,19952.0,17632.0
Cost of revenues,19696.0,15939.0,13686.0
Energy Generation and Storage [Member],0.0,0.0,0.0
Revenues,1994.0,1531.0,1555.0
Cost of revenues,1976.0,1341.0,1365.0
