,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
Current ratio,1.8751403705783267,1.1346207931002157,
Quick ratio,1.5873104997192589,0.8016311990250304,
Operating CF to Current Liabilities Ratio,0.41711117349803484,0.22546170432173995,
Inventory turnover,6.5088200705605646,,
Inventory days,56.07775234883161,,
Accounts receivable turnover,19.648598130841123,,
Receivables days,18.57638888888889,,
Accounts payable turnover,5.071472205253513,,
Payables days,71.97121175620332,,
Required financing for days,2.682929481517178,,
